section_title,title,rating_and_volume,rating,volume_of_ratings,bio,url,shop_app_url
Men,Kit and Ace,4.6(3.1K),4.6,3100.0,"For people who choose Optimism 
and clothing you can go anywhere in.",https://kitandace.com/,https://shop.app/m/x3ucetpar8
Women,The Narwhal,4.8(26),4.8,26.0,"WOMEN'S BOUTIQUE IN TORONTO, CANADA
ULLA JOHNSON, CAROLINA BUCCI, ISABEL MARANT, GOLDEN GOOSE, GIGI CLOZEAU, R13, 

FASHION, TORONTO, FINE JEWELRY, CLOTHING, CONTEMPORARY, DESIGNER",https://narwhalboutique.com/,https://shop.app/m/7fbcw3mpau
Women,Hoi Bo,5(29),5.0,29.0,"To wear, to use, for days, for years — thoughtfully designed, lasting clothing and accessories. Made in Toronto.",https://hoibo.com/,https://shop.app/m/ap8bycz350
Women,Pink Palm Puff,4.8(2.3K),4.8,2300.0,Email team@pinkpalmpuff.com for support!,https://pinkpalmpuff.com/,https://shop.app/m/murdgp0159
Women,ANIÁN,4.8(7.7K),4.8,7700.0,"ANIÁN transforms textiles waste into functional garments, built to last.",https://anianmfg.com/,https://shop.app/m/zu8dy1cwvx
Women,Alpine Country Lodge,4.9(6),4.9,6.0,"Since 1994, Alpine Country Lodge has been a premiere choice for outdoor lifestyle gear & apparel in St. John's, Newfoundland. From the first chair to the last run, we've got you covered. Official authorized retailer for North...Read more",https://alpinecountrylodge.ca/,https://shop.app/m/ypm7fra1gw
Women,437,4.8(2.7K),4.8,2700.0,Boutique swim and activewear designed with a minimalist aesthetic and flattering cuts that hug a women's curves. The ultimate staple pieces.,https://shop437.com/,https://shop.app/m/wd4yvx9bph
Women,Johnny Ruth,4.9(22),4.9,22.0,,https://johnnyruth.com/,https://shop.app/m/tewfagkr2x
Women,HOAKA SWIMWEAR,4.4(119),4.4,119.0,"High quality neoprene swimwear, Eco-friendly, apparel for women and men. A Canadian brand designed by Elisabeth Rioux. Worldwide shipping!",https://hoakaswimwear.com/,https://shop.app/m/dqp2ctr4hf
Women,VSP Consignment,4.7(130),4.7,130.0,VSP Consignment is Canada's trusted leader in luxury & designer resale fashion.,https://vspconsignment.com/,https://shop.app/m/v4a078rneg
Women,Manitobah,4.7(52.1K),4.7,52100.0,Unwrap Warmth with our Winter Collection featuring Rosa Scribe & Janae Grass,https://manitobah.ca/,https://shop.app/m/kcw735g8n0
Women,JOELLE Collection,4.9(65.4K),4.9,65400.0,"Notre marque mélange inspirations grunges, minimalistes, romantiques et années 90 pour des styles intemporels. Votre histoire de style commence ici.",https://joellecollection.com/,https://shop.app/m/ku82xp6hyj
Women,WOLF CIRCUS JEWELRY,4.8(49),4.8,49.0,"Wolf Circus is a line of demi-fine jewelry, handcrafted in Vancouver Canada.",https://wolfcircus.com/,https://shop.app/m/ztjf2p9qv1
Women,mernini,4.9(408),4.9,408.0,Form and Function. 100% waterproof and stylish for every occasion. This is designed for strong women who won't let weather get in their way. Its convenient features let you tackle the rainiest and windiest days with little ef...Read more,https://mernini.com/,https://shop.app/m/jnac5dz70g
Women,OAK + FORT,4.5(4.8K),4.5,4800.0,Elevate your effortless lifestyle.,https://oakandfort.ca/,https://shop.app/m/xc6vk5dg4w
Women,Maguire Shoes,4.6(435),4.6,435.0,"Women's leather shoes, boots and handbags. Original designs, manufactured in Europe. Choose shoes that last! Enjoy free delivery on orders of $125+!",https://maguireshoes.com/,https://shop.app/m/y1qfu36z28
Men,Amos & Andes Canada Inc,4.9(8),4.9,8.0,"Sweaters and knitted accessories available to buy online or in our Whistler retail store. Offering traditional sweaters from Dale of Norway, Cowichan, Ivko and Ireland.",https://whistlersweatershop.com/,https://shop.app/m/kajxcb4z96
Men,Dime,4.8(3),4.8,3.0,,https://dimemtl.com/,https://shop.app/m/h01ac7ftuy
Men,Herschel Supply Co. Canada,4.6(4.3K),4.6,4300.0,,https://shop.herschel.ca/,https://shop.app/m/jz4u0a7teg
Men,JD Sports,4.7(4.3K),4.7,4300.0,"JD Sports is Canada’s premiere destination for all things sneakers, streetwear and sports style. Shop the latest men’s, women’s and kid’s gear now.",https://jdsports.ca/,https://shop.app/m/d67wvzmb4y
Men,HAVEN,4.8(839),4.8,839.0,Equipment for Living,https://shop.havenshop.com/,https://shop.app/m/rtb4pm1k6j
Men,NOMAD,4.9(88),4.9,88.0,"A Toronto menswear boutique focused on cultivating the finest selection of contemporary and designer clothing, footwear and lifestyle goods.",https://nomadshop.net/,https://shop.app/m/jqv0dnbctg
Men,Vitaly,4.8(2.2K),4.8,2200.0,ACCESSORY DESIGN STUDIO. ENGINEERED STAPLES AND CONTEMPORARY STATEMENTS. MADE FOR THE FUTURE WITH 100% RECYCLED STAINLESS STEEL.,https://vitalydesign.com/,https://shop.app/m/218edqa39w
Men,Blundstone Canada,4.8(685),4.8,685.0,,https://blundstone.ca/,https://shop.app/m/h7tdg6xnup
Men,Danier,4.5(3.8K),4.5,3800.0,,https://danier.com/,https://shop.app/m/f2pc9vgh1j
Men,Saintwoods,4.8(24),4.8,24.0,,https://saintwoods.com/,https://shop.app/m/913ehpj8y0
Men,Frank And Oak Canada,4.5(27.3K),4.5,27300.0,Made for Good Living.,https://ca.frankandoak.com/,https://shop.app/m/v80f7wdz1c
Men,Peace Collective,4.7(12.9K),4.7,12900.0,Giving back looks great on you.,https://peace-collective.com/,https://shop.app/m/58exk70jmy
Men,JJJJound,4.9(244),4.9,244.0,"JJJJound launched in 2006 as a digital mood board intended to examine the recurring patterns in timeless design. Since its inception, JJJJound has grown in the last decade into a collaborative design studio that aims to inspi...Read more",https://jjjjound.com/,https://shop.app/m/6fp715e4qc
Men,Manmade,4.9(6K),4.9,6000.0,"Quality essentials men need, without the BS.",https://manmadebrand.com/,https://shop.app/m/z6dynpc4ha
Men,Kotn,4.7(1K),4.7,1000.0,For lasting ways of life. Certified B Corp.,https://shop.kotn.com/,https://shop.app/m/0z1hk89qxv
Men,Unbound Merino,4.8(15.4K),4.8,15400.0,"100% Merino wool apparel.
Pack less. Travel better.",https://unboundmerino.com/,https://shop.app/m/6qw2ecxhtm
Men,lost & found,4.9(144),4.9,144.0,"Hi folks, we're called Lost & Found and we love great clothes. But even more so, we love sharing our favourite brands with you. So come on in and lay down your hat/cane/umbrella and take a gander.  | Alden | Gitman | Viberg |...Read more",https://shoplostfound.com/,https://shop.app/m/uphjqfac7z
Men,tentree CA,4.6(27.5K),4.6,27500.0,"Clothing Designed for a Healthy, Sustainable World. Made with Hemp, Cork & Organic Cotton. 10 Trees Planted For Every Item. 50+ Million Planted. Shop & Grow!",https://tentree.ca/,https://shop.app/m/zfy5xjmcp9
Men,DUER,4.7(11.2K),4.7,11200.0,The World's Most Comfortable Pants,https://duer.ca/,https://shop.app/m/awt3mugy6h
Men,Alpine Country Lodge,4.9(6),4.9,6.0,"Since 1994, Alpine Country Lodge has been a premiere choice for outdoor lifestyle gear & apparel in St. John's, Newfoundland. From the first chair to the last run, we've got you covered. Official authorized retailer for North...Read more",https://alpinecountrylodge.ca/,https://shop.app/m/ypm7fra1gw
Men,Reigning Champ,4.8(556),4.8,556.0,We design and manufacture premium athletic wear. Our process is guided by our principles: Respect the details. Master simplicity.,https://ca.reigningchamp.com/,https://shop.app/m/p7gqa0refy
Men,MTN.HEAD,4.8(329),4.8,329.0,"Muttonhead is a unisex clothing company located in Toronto, ON. 
We fully control quality and guarantee fair trade practices. Designed and made in Canada.",https://mtnhead.com/,https://shop.app/m/xh6wvg4d51
Men,Lawrencetown Surf Company,5(12),5.0,12.0,"Welcome to Lawrencetown Surf Co. An authentic, community based shop with top quality gear.",https://lawrencetownsurfco.com/,https://shop.app/m/qtfrhxu3kp
Men,October's Very Own,4.9(139),4.9,139.0,October's Very Own,https://checkout.octobersveryown.com/,https://shop.app/m/52er7bjnqy
Men,The Outfitters Adventure Gear and Apparel,4.8(147),4.8,147.0,Experience Adventure,https://theoutfitters.nf.ca/,https://shop.app/m/fgk8w3b9p5
Beauty,Nudestix Canada,4.5(152),4.5,152.0,"NUDESTIX provides cruelty-free, vegan makeup products that enhance natural beauty for a fresh-faced, nude look. Shop lip and cheek pencils, face highlighters and more.",https://nudestix.ca/,https://shop.app/m/tgnmjzuq4b
Beauty,Province Apothecary,4.7(83),4.7,83.0,Plant-powered skincare. Real results.,https://provinceapothecary.com/,https://shop.app/m/p3futmhq1g
Beauty,rèphr,4.9(2.1K),4.9,2100.0,"handcrafted in Kumano, Japan.",https://checkout.rephr.com/,https://shop.app/m/7kwh8pqu1e
Beauty,F. MILLER,5(15),5.0,15.0,"Everything you need in the highest quality, and nothing you don’t.",https://fmillerskincare.com/,https://shop.app/m/ed3nktguwb
Beauty,Gee Beauty,4.7(628),4.7,628.0,"GEE Beauty is a modern beauty destination retailing GEE cosmetics, the world’s best beauty brands, plus modern, result-driven brow, makeup & facial treatments.",https://checkout.geebeauty.ca/,https://shop.app/m/q9txv3zcy5
Beauty,Wildcraft,4.8(1K),4.8,1000.0,"We create 100% natural and luxurious skincare. Our products are affordable, handcrafted in small batches, and made to elevate your everyday. Free shipping over $40.",https://wildcraftcare.ca/,https://shop.app/m/ajcpqr7z2n
Beauty,East Coast Glow | Wild Island Apothecary,4.9(131),4.9,131.0,,https://eastcoastglow.ca/,https://shop.app/m/xrzj4tdy2n
Beauty,Golâb Beauty,4.7(833),4.7,833.0,,https://golabbeauty.com/,https://shop.app/m/ft1w8epucg
Beauty,T,4.7(49),4.7,49.0,Natural Artisan Handmade Skincare,https://tvalskincare.com/,https://shop.app/m/6ha4y5vun7
Beauty,The Gold Method,4.8(117),4.8,117.0,,https://thegoldmethod.ca/,https://shop.app/m/ca15k40ge8
Beauty,Maison Lavande,4.9(835),4.9,835.0,"Bienvenue sur le site web de La Maison Lavande de Saint-Eustache. Venez découvrir les merveilleuses activités offertes à La Maison Lavande! ||La Maison Lavande, located in the countryside of Saint-Eustache, offers lavender pr...Read more",https://maisonlavande.ca/,https://shop.app/m/bmu26n3ha9
Beauty,Skinfix CA,4.7(1.8K),4.7,1800.0,"Clean, derm-developed and clinically proven and barrier solutions.",https://ca.skinfix.com/,https://shop.app/m/gyzmckf78b
Beauty,Sahajan,4.7(1.2K),4.7,1200.0,"We create Category Defining, High Performance, Clean Skincare based on the Ancient Indian Science of Ayurveda",https://sahajan.com/,https://shop.app/m/ze1ugfr7vq
Beauty,LUS Brands (Can),4.7(1.5K),4.7,1500.0,"Salon quality formula's made to enhance your natural wavys, curls & coils",https://ca.lusbrands.com/,https://shop.app/m/2yh3jg70qp
Beauty,Bushbalm Canada,4.4(3.1K),4.4,3100.0,"Bushbalm is manufactured in Ottawa, Canada by the founders. Every bottle is handmade just for you. Bikini line skincare you know and love. Fast Shipping in Canada.",https://bushbalm.ca/,https://shop.app/m/ewz3x8m0by
Beauty,Riversol,4.3(65.9K),4.3,65900.0,Formulas That Pack a Punch - Dermatologist expertise in every bottle.,https://riversol.com/,https://shop.app/m/92fxum03gp
Beauty,Cheekbone Beauty,4.8(2.9K),4.8,2900.0,"Cheekbone Beauty is a Canadian, Indigenous-owned beauty brand on a mission to empower Indigenous youth while crafting sustainable cosmetics. 2% of sales are donated to organizations that support Indigenous youth and in 2021 w...Read more",https://cheekbonebeauty.com/,https://shop.app/m/hxbepfy48u
Beauty,Rocky Mountain Soap,4.8(1.6K),4.8,1600.0,"A genuinely all natural skin care company offering a variety of handmade cold-pressed bar soaps, moisturizing body butters and products for the bath and body.",https://rockymountainsoap.com/,https://shop.app/m/g4mu6tp20z
Beauty,Formula Fig CA,4.8(1.3K),4.8,1300.0,High tech facials + injectables. Done in 30 minutes. A curated selection of ingredient-led skincare from brands we love.,https://formulafig.com/,https://shop.app/m/5tpxyn4v2g
Beauty,6 by Gee Beauty,4.9(15),4.9,15.0,"Located just next to Gee Beauty’s Toronto flagship, 6 By Gee Beauty is the brand’s lifestyle shop, retailing a well-edited mix of travel-inspired essentials from apparel to accessories, jewelry, candles, gifts and home goods,...Read more",https://6bygeebeauty.com/,https://shop.app/m/dcr5j4ufvq
Beauty,Queen of the Thrones®,4.7(622),4.7,622.0,"Self-care made easy. Your well-being is our number one priority. Period. End of story.
Which is why we create our self-care products with premium materials, high quality ingredients, and advice straight from nature that we us...Read more",https://queenofthethrones.com/,https://shop.app/m/ghenk5p7y4
Beauty,Hourglass Cosmetics CA,Powered,,,Cruelty Free Luxury Beauty,https://hourglasscosmetics.ca/,https://shop.app/m/q5uk2gw7pb
Beauty,Henson Shaving,4.6(16.1K),4.6,16100.0,,https://hensonshaving.com/,https://shop.app/m/y572e8jzpw
Beauty,Wildpier Beauty,3.7(4K),3.7,4000.0,Exfoliate Your Skin - Naturally!,https://wildpier.com/,https://shop.app/m/rtuz3wkhn5
Beauty,Saltyface,4.6(1K),4.6,1000.0,"Saltyface offers natural, vegan-friendly, cruelty & gluten-free products—Gradual Face Tan, Freckle Stain, & more—for your face & skin.  Order online today.",https://saltyface.ca/,https://shop.app/m/dn4jap2zct
Beauty,Saje Natural Wellness,4.6(20K),4.6,20000.0,100% natural formulas to activate the wellness within.,https://saje.ca/,https://shop.app/m/ncwytamdep
Beauty,Carina Organics,4.8(4.8K),4.8,4800.0,"Carina Organics formulates the cleanest, finest quality, skin, face, and hair care products derived only from organic ingredients. Formulated free of harmful additives. Because safe and sustainable hair and skin care should b...Read more",https://carinaorganics.com/,https://shop.app/m/r30wge6t12
Home,Old Faithful Shop,4.8(57),4.8,57.0,Elevate the everyday with quality goods for considered living. Fast & Free Shipping on orders over $100 and 30 Day Easy Returns.,https://oldfaithfulshop.com/,https://shop.app/m/te2xf4gknv
Home,Pela Case,4.4(13.7K),4.4,13700.0,Everyday Products Without Everyday Waste™,https://pelacase.com/,https://shop.app/m/5wm38acnjv
Home,Yes Chef,4.8(55),4.8,55.0,,https://yeschef.ca/,https://shop.app/m/qh71f8upt9
Home,The Trail Shop,5(27),5.0,27.0,The Trail Shop is an independent premier outdoor gear store since 1967.,https://trailshop.com/,https://shop.app/m/k5gqr0e1py
Home,Dancing Bee Equipment,4.5(97),4.5,97.0,Dancing Bee is Canada's bee supply and beekeeping equipment store.,https://dancingbeeequipment.com/,https://shop.app/m/ptx0m4gn27
Home,Sundays Company Canada,4.6(1.3K),4.6,1300.0,"A thoughtfully designed, curated furniture collection—made for real life.",https://sundays-company.ca/,https://shop.app/m/ywd6e8jv53
Home,Monos,4.6(4.1K),4.6,4100.0,"Thoughtfully considered luggage, bags, clothing, and travel accessories.",https://ca.monos.com/,https://shop.app/m/6d7fjh8v34
Home,DeSerres,4.7(1.3K),4.7,1300.0,"The fine arts destination since 1908. A large selection of arts supplies to support your next creative project: Canvases, paint, paintbrushes, markers, frames and more.",https://deserres.ca/,https://shop.app/m/2yczktne8h
Home,Indoor Farmer,4.8(1.6K),4.8,1600.0,It's Time to Grow your Own!,https://indoorfarmer.ca/,https://shop.app/m/wx79rgdfk2
Home,The Bee's Knees & The Travel Bug,4.8(7),4.8,7.0,"The Bee’s Knees is your Local Eco General Store.
-Local
-Eco
-Recycled/upcycled
-Handmade
-Ethical
-Organic
-Zero waste
We have it!",https://shop.thebeeskneesstore.com/,https://shop.app/m/mtj2zqud5a
Home,VSSL,4.7(1.4K),4.7,1400.0,Essential Gear for Self Reliant Explorers,https://vsslgear.com/,https://shop.app/m/xjwz0d6rtf
Home,Seido Knives,4.5(1.6K),4.5,1600.0,Ignite the chef within.,https://seidoknives.com/,https://shop.app/m/3458mchre0
Home,Mason Genie,4.5(331),4.5,331.0,,https://masongenie.com/,https://shop.app/m/yczrd01qun
Home,Good Neighbour,4.8(85),4.8,85.0,Welcome to the neighbourhood!,https://goodnbr.com/,https://shop.app/m/0a389qy1de
Home,Hush,4.2(12.3K),4.2,12300.0,"Canada's most-reviewed weighted blanket for sleep and anxiety, designed to help on those tough days.",https://hush.ca/,https://shop.app/m/08bd2639m5
Home,Lomi,4.5(9),4.5,9.0,"Help us keep 10 BILLION pounds of waste from ever being made. Why? Here at Lomi we have a big, hairy audacious goal. We want to create a waste free future.",https://lomi.com/,https://shop.app/m/47rn5mpqw2
Home,Fogo Island Workshops,Powered,,,"Contemporary furniture, textiles and homewares made on Fogo Island, an Island in the North Atlantic, off the coast of Newfoundland, Canada.",https://fogoislandworkshops.ca/,https://shop.app/m/xcfzjm9hqg
Home,Goodee,4.8(1.8K),4.8,1800.0,"Good Design, Good People, Good Impact",https://goodeeworld.com/,https://shop.app/m/vdbzt6ug85
Home,Nellie's Canada,4.6(229),4.6,229.0,"Planet friendly, simple, and honest products for the whole home.",https://nelliesclean.ca/,https://shop.app/m/ug80trbfdc
Home,Endy,4.4(47.9K),4.4,47900.0,,https://ca.endy.com/,https://shop.app/m/ajtzyp3mh4
Home,DAVIDsTEA,4.8(676),4.8,676.0,,https://davidstea.com/,https://shop.app/m/zdy3b45qje
Home,The Seed Company by E.W. Gaze,4.5(33),4.5,33.0,"The Seed Company was started in 1925 by E.W. Gaze in St. Johns, Newfoundland. We are delighted to carry on his tradition of selling only the top quality seed.",https://theseedcompany.ca/,https://shop.app/m/gwnd1exk89
Home,Cocktail Emporium,4.9(92),4.9,92.0,"Cocktail Emporium is a Toronto-based specialty cocktail store that sells ingredients, bar tools, glassware, and more!",https://cocktailemporium.com/,https://shop.app/m/g9z5ne4hv3
Home,Opposite Wall,4.8(311),4.8,311.0,Everyone needs art.,https://oppositewall.com/,https://shop.app/m/ncgm6tq4vj
Home,Knifewear - Handcrafted Japanese Kitchen Knives,4.9(25.4K),4.9,25400.0,#sharpknivesrock,https://knifewear.com/,https://shop.app/m/vqw13c9dbt
Home,Taz Records,4.9(206),4.9,206.0,,https://taz-records.myshopify.com/,https://shop.app/m/3p1g9f7bvm
Home,SAUDADE TORONTO,4.8(24),4.8,24.0,"A shop in Little Portugal, Toronto, celebrating Portuguese design and artisinal traditions. A project of passion that showcases the amazing creations, both traditional and innovative of Portugal. Saudade - a sentimental yearn...Read more",https://saudadetoronto.com/,https://shop.app/m/hbpef4t7m8
Home,NONIA,Powered,,,,https://nonia.com/,https://shop.app/m/ae8dfgxzw7
Home,JOMO Studio,4.5(58),4.5,58.0,House plants delivered with lifetime support.,https://jomostudio.com/,https://shop.app/m/4gu31v8ej9
Home,Canada Greenhouse Kits,4.3(15),4.3,15.0,"Certified Rion & Palram Canadian Supplier. 100% Family owned
We sell Palram Greenhouse Kits: Mythos, Hybrid, Harmony, Balance, Essence, Glory, Bella, Lean-to, Oasis and Rion Eco-grow, Grand Gardener and Prestige Greenhouses.
...Read more",https://canada-greenhouse-kits.ca/,https://shop.app/m/en09mdyz2v
Home,Alexis Templeton Shop,5(6),5.0,6.0,,https://shop.alexistempleton.com/,https://shop.app/m/hd9u8qgnvz
Home,SOCCO Living,4.9(919),4.9,919.0,Simple things made beautifully,https://soccoliving.com/,https://shop.app/m/1pka8tbzh7
Home,Home on water st.,4.9(3),4.9,3.0,"HOME decor boutique specializing in All-Clad cookware, SMEG appliances, Shun Japanese knives, Jellycat, bath & body products and gifts for all.",https://homeonwaterst.com/,https://shop.app/m/x1amdhygfn
Home,Neighbour,5(26),5.0,26.0,"Neighbour was founded in Vancouver, BC in 2011. We carry clothes, items and objects that we admire. Some we have followed for years and others have stepped into our life more recently. They are objects, they are garments and ...Read more",https://shopneighbour.com/,https://shop.app/m/5pjxucwf48
Home,Casper,4.2(882),4.2,882.0,The Best Bed for Better Sleep,https://shop.casper.ca/,https://shop.app/m/y0bxezqdg4
Food & drinks,Newfoundland Salt Company,4.9(28),4.9,28.0,"Hand harvested finishing salts made with love in Bonavista, Newfoundland",https://newfoundlandsaltcompany.com/,https://shop.app/m/r4bvyu5c31
Food & drinks,Rosewood Winery,4.8(8),4.8,8.0,,https://rosewoodwine.com/,https://shop.app/m/p6vydkxgqe
Food & drinks,Blume,4.3(5.6K),4.3,5600.0,"Blends with benefits. Organic superfood powders for your mug, cup, bowl and baking sheet. We believe wellness should be fun and accessible. All of our colorful lattes are vegan, refined sugar-free and less than $1/serving.",https://itsblume.com/,https://shop.app/m/rgjhxwquvm
Food & drinks,4,4.8(1.5K),4.8,1500.0,Small-batch roasting and always fresh. We make specialty coffee accessible to more people by crafting exceptional direct trade coffee that inspires curiosity.,https://49thcoffee.com/,https://shop.app/m/2rnjdwhue1
Food & drinks,Magic Scoop,4.5(43),4.5,43.0,,https://magicscoop.com/,https://shop.app/m/2apgzh53vf
Food & drinks,Greenhouse,4.8(36),4.8,36.0,"Welcome to Greenhouse! We're a proudly Canadian beverage company committed to producing organic, plant-based, functional beverages with maximum nutrient density, in a delicious, convenient format. Our mission is to offer wide...Read more",https://greenhouse.ca/,https://shop.app/m/ze8ufd9vwn
Food & drinks,Upside Drinks,4.1(331),4.1,331.0,The Largest Non-Alcoholic Beverage Store in North America,https://upsidedrinks.ca/,https://shop.app/m/dyng81rbet
Food & drinks,Pilot Coffee Roasters,4.9(53),4.9,53.0,Celebrating coffee excellence from seed to service. Direct Trade specialty coffee roasted in Canada.,https://pilotcoffeeroasters.com/,https://shop.app/m/1rpdz3ymtg
Food & drinks,Mojo | Mushroom Dosed Gummies,3.9(292),3.9,292.0,A Microdose for Modern Life,https://mojo.shop/,https://shop.app/m/ywfpn8g95v
Food & drinks,Good Protein,4.6(1.7K),4.6,1700.0,,https://goodprotein.ca/,https://shop.app/m/68gpfhwmq4
Food & drinks,Canadian Protein,4.3(12.1K),4.3,12100.0,Canada's Most Trusted Health Brand,https://canadianprotein.com/,https://shop.app/m/24p16fcvum
Food & drinks,The Sobr Market,4.3(676),4.3,676.0,"Anyone, Anytime, Anywhere.",https://thesobrmarket.com/,https://shop.app/m/kha8xzrdjq
Food & drinks,Bonavista Coffee Company,Powered,,,Direct Trade coffee roastery in Bonavista Newfoundland,https://bonavistacoffee.com/,https://shop.app/m/qfvx1mjp8z
